iter	Passed	Remaining
0	1	250
1	3	284
2	5	293
3	8	294
4	10	298
5	12	301
6	15	318
7	19	339
8	21	335
9	23	330
10	25	322
11	28	324
12	30	322
13	32	317
14	34	314
15	37	311
16	39	309
17	42	310
18	44	306
19	46	302
20	48	300
21	51	297
22	53	294
23	55	292
24	57	288
25	59	285
26	61	282
27	64	279
28	66	276
29	68	273
30	70	271
31	72	268
32	75	266
33	77	263
34	79	261
35	81	259
36	84	257
37	86	254
38	88	252
39	90	249
40	92	247
41	95	246
42	98	244
43	100	242
44	102	239
45	104	236
46	106	234
47	109	232
48	111	229
49	113	227
50	116	226
51	119	225
52	123	225
53	125	223
54	128	221
55	130	218
56	132	216
57	134	213
58	136	211
59	139	208
60	141	206
61	143	204
62	145	201
63	148	199
64	150	197
65	152	194
66	154	191
67	157	189
68	159	187
69	162	185
70	165	183
71	167	181
72	169	179
73	172	176
74	174	174
75	177	172
76	179	169
77	181	167
78	183	164
79	185	162
80	187	159
81	189	157
82	192	154
83	194	152
84	196	149
85	198	147
86	200	145
87	202	142
88	204	140
89	206	137
90	208	135
91	210	132
92	212	130
93	214	127
94	216	125
95	218	122
96	220	120
97	222	118
98	224	115
99	226	113
100	229	111
101	231	109
102	234	106
103	236	104
104	238	102
105	241	100
106	243	97
107	245	95
108	247	93
109	250	90
110	252	88
111	254	86
112	256	84
113	258	81
114	260	79
115	262	76
116	264	74
117	267	72
118	270	70
119	273	68
120	276	66
121	278	64
122	281	61
123	284	59
124	286	57
125	288	55
126	290	52
127	292	50
128	295	48
129	297	45
130	299	43
131	301	41
132	303	38
133	305	36
134	307	34
135	309	31
136	310	29
137	312	27
138	314	24
139	316	22
140	318	20
141	319	18
142	322	15
143	324	13
144	326	11
145	327	8
146	329	6
147	331	4
148	333	2
149	335	0
